start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,17,1,15,10,mi,1.1085,-0.0021,527.8571428571429
2017-03-01,2017-03-31,16,1,15,10,mi,-0.1135,-0.0244,-4.6516393442622945
2017-04-03,2017-04-28,16,1,10,10,mi,-0.1393,-0.0179,-7.782122905027934
2017-05-01,2017-05-31,16,1,10,10,mi,-0.1224,-0.0467,-2.620985010706638
2017-06-01,2017-06-30,16,1,10,10,mi,-0.0595,-0.0232,-2.564655172413793
2017-07-03,2017-07-31,17,1,15,10,mi,0.0764,-0.0368,2.0760869565217392
2017-08-01,2017-08-31,16,1,10,10,mi,0.0543,-0.0376,1.4441489361702127
2017-09-01,2017-09-29,16,1,10,10,mi,0.3589,-0.0108,33.23148148148148
2017-10-02,2017-10-31,16,1,10,10,mi,0.0295,-0.0138,2.1376811592017-11-01,2017-11-30,17,1,10,10,mi,0.2243,-0.0252,8.90079365079365
2017-12-01,2017-12-29,17,1,15,10,,0.1209,-0.0102,11.852941176470587
2018-01-022018-01-02,2018-01-31,16,1,10,10,mi,1.5345,-0.0193,79.5077722018-02-02018-02-01,2018-02-28,16,1,10,10,mi,-0.385,-0.0713,-5.399719495091164
2018-03-01,2018-03-29,16,1,10,10,mi,-0.1171,-0.0593,-1.9747048903878583
2018-04-02,2018-04-30,16,1,10,10,mi,0.4135,-0.0377,10.96816976127321
2018-05-01,2018-05-31,16,1,10,10,mi,0.1778,-0.0319,5.5736677115987465
2018-06-01,2018-06-29,16,1,10,10,mi,0.1225,-0.0325,3.769230769230769
2018-07-02,2018-07-31,16,1,15,10,,0.1254,-0.0366,3.426229508196722
2018-08-01,2018-08-31,17,1,15,10,mi,-0.038,-0.0294,-1.2925170068027212
2018-09-04,2018-09-28,16,1,10,10,mi,0.308,-0.0102018-10-01,2018-10-312018-10-01,2018-10-31,16,1,10,10,mi,-0.5396,-0.0829,-6.509047044632086
2018-11-01,2018-11-30,16,1,10,10,mi,1.5427,-0.0249,61.95582329317269
2018-12-03,2018-12-31,16,1,10,10,mi,-0.7329,-0.1463,-5.00956937799043
2019-01-02,2019-01-31,16,1,15,10,,3.0821,-0.0173,178.15606936416185
2019-02-01,2019-02-28,16,1,10,10,mi,-0.1576,-0.0306,-5.15032679738562
2019-03-01,2019-03-29,16,1,10,10,mi,-0.0667,-0.0265,-2.516981132075472
2019-04-01,2019-04-30,16,1,10,10,mi,-0.1249,-0.0259,-4.822393822393822
2019-05-01,2019-05-31,17,1,15,10,mi,-0.638,-0.0914,-6.980306345733042
2019-06-03,2019-06-28,16,1,10,10,,3.4479,-0.0157,219.6114649681529
2019-07-01,2019-07-31,16,1,10,10,mi,-0.0285,-0.026,-1.0961538461538463
2019-08-01,2019-08-30,16,1,10,10,mi,-0.4554,-0.0829,-5.4933655006031366
2019-09-03,2019-09-30,16,1,10,10,mi,1.4241,-0.0309,46.0873786407767
2019-10-01,2019-10-31,16,1,10,10,mi,0.6906,-0.0307,22.495114006514658
2019-11-01,2019-11-29,16,1,10,10,mi,0.1226,-0.0168,7.297619047619048
2019-12-02,2019-12-31,16,1,10,10,,0.5609,-0.015,37.39333333333333
2020-01-02,2020-01-31,16,1,10,10,mi,-0.3191,-0.0649,-4.916795069337442
2020-02-03,2020-02-28,16,1,10,10,mi,-0.5021,-0.1162,-4.320998278829604
2020-03-02,2020-03-31,16,1,15,10,,-0.8685,-0.2777,-3.1274756931940946
2020-04-01,2020-04-30,16,1,10,10,,9.0865,-0.0863,105.28968713789106
2020-05-01,2020-05-29,17,1,15,10,mi,6.3742,-0.0515,123.77087378640778
2020-06-01,2020-06-30,16,1,15,10,,-0.2303,-0.1626,-1.416359163591636
2020-07-01,2020-07-31,17,1,15,10,mi,0.9842,-0.0262,37.5648854961832
2020-08-03,2020-08-31,16,1,10,10,mi,1.5014,-0.0156,96.24358974358975
2020-09-01,2020-09-30,17,1,15,10,mi,-0.5352,-0.1083,-4.941828254847646
2020-10-01,2020-10-30,16,1,15,10,,-0.0871,-0.0787,-1.1067344345616263
2020-11-02,2020-11-30,17,1,15,10,mi,6.661,-0.0248,268.58870967741933
2020-12-01,2020-12-31,17,1,15,10,mi,0.9737,-0.0308,31.613636363636363
2021-01-04,2021-01-29,16,1,15,10,mi,-0.0484,-0.0455,-1.0637362637362637
2021-02-01,2021-02-26,16,1,15,10,mi,1.2581,-0.028,44.93214285714286
2021-03-01,2021-03-31,16,1,10,10,,1.0388,-0.0207,50.18357487922705
2021-04-01,2021-04-30,16,1,15,10,mi,0.8916,-0.0105,84.91428571428571
2021-05-03,2021-05-28,16,1,15,10,mi,0.3667,-0.0411,8.922141119221413
2021-06-01,2021-06-30,16,1,10,10,,0.2458,-0.0347,7.0835734870317
2021-07-01,2021-07-30,16,1,10,10,mi,-0.1551,-0.0502,-3.0896414342629477
2021-08-02,2021-08-31,16,1,15,10,mi,0.2139,-0.0421,5.080760095011877
2021-09-01,2021-09-30,16,1,10,10,,-0.0237,-0.0349,-0.6790830945558739
2021-10-01,2021-10-29,17,1,10,10,mi,0.9627,-0.0196,49.11734693877551
2021-11-01,2021-11-30,16,1,15,10,mi,-0.8207,-0.1276,-6.4318181818181825
2021-12-01,2021-12-31,16,1,15,10,,0.9523,-0.0513,18.563352826510723
2022-01-03,2022-01-31,16,1,15,10,mi,-0.3889,-0.0728,-5.342032967032967
2022-02-01,2022-02-28,16,1,10,10,,-0.0377,-0.0697,-0.5408895265423243
2022-03-01,2022-03-30,16,1,10,10,,0.7879,-0.0559,14.094812164579608
