start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,15,10,mi,0.5484,-0.0119,46.08403361344538
2017-03-01,2017-03-31,16,1,10,10,mi,-0.1135,-0.0244,-4.6516393442622945
2017-04-03,2017-04-28,16,1,10,10,mi,-0.1393,-0.0179,-7.782122905027934
2017-05-01,2017-05-31,16,1,15,10,mi,-0.1289,-0.0307,-4.198697068403908
2017-06-01,2017-06-30,16,1,10,10,mi,-0.0595,-0.0232,-2.564655172413793
2017-07-03,2017-07-31,16,1,10,10,mi,0.0764,-0.0368,2.0760869565217392
2017-08-01,2017-08-31,16,1,15,10,mi,-0.2438,-0.0398,-6.125628140703517
2017-09-01,2017-09-29,16,1,10,10,mi,0.3589,-0.0108,33.23148148148148
2017-10-02,2017-10-31,16,1,10,10,mi,0.0295,-0.0138,2.1376811594202896
2017-11-01,2017-11-30,17,1,10,10,mi,0.5842,-0.0203,28.778325123152715
2017-12-01,2017-12-29,16,1,10,10,mi,0.3083,-0.0087,35.43678160919541
2018-01-02,2018-01-31,16,1,10,10,mi,1.5345,-0.0193,79.50777202072538
2018-02-01,2018-02-28,16,1,10,10,mi,-0.385,-0.0713,-5.399719495091164
2018-03-01,2018-03-29,16,1,10,10,mi,-0.1171,-0.0593,-1.9747048903878583
2018-04-02,2018-04-30,16,1,10,10,mi,1.1083,-0.017,65.19411764705882
2018-05-01,2018-05-31,16,1,10,10,mi,0.1778,-0.0319,5.5736677115987465
2018-06-01,2018-06-29,16,1,15,10,mi,0.0043,-0.0369,0.11653116531165311
2018-07-02,2018-07-31,16,1,10,10,,0.1254,-0.0366,3.426229508196722
2018-08-01,2018-08-31,16,1,10,10,mi,-0.0837,-0.0385,-2.174025974025974
2018-09-04,2018-09-28,16,1,10,10,mi,0.308,-0.0106,29.056603773584904
2018-10-01,2018-10-31,16,1,15,10,mi,-0.5358,-0.1103,-4.857660924750681
2018-11-01,2018-11-30,16,1,10,10,mi,1.5427,-0.0249,61.95582329317269
2018-12-03,2018-12-31,16,1,10,10,mi,-0.7329,-0.1463,-5.00956937799043
2019-01-02,2019-01-31,16,1,15,10,mi,1.9274,-0.0205,94.01951219512195
2019-02-01,2019-02-28,16,1,10,10,mi,0.182,-0.0334,5.449101796407185
2019-03-01,2019-03-29,17,1,10,10,mi,0.0494,-0.0336,1.4702380952380953
2019-04-01,2019-04-30,16,1,10,10,mi,-0.1249,-0.0259,-4.822393822393822
2019-05-01,2019-05-31,17,1,15,10,mi,-0.6886,-0.1173,-5.870417732310315
