start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,boruta,0.2363,-0.0125,18.904
2017-03-01,2017-03-31,16,1,10,10,boruta,0.2708,-0.0246,11.008130081300813
2017-04-03,2017-04-28,16,1,10,10,,0.0602,-0.0376,1.601063829787234
2017-05-01,2017-05-31,16,1,15,10,,-0.2721,-0.0505,-5.388118811881188
2017-06-01,2017-06-30,16,1,10,10,boruta,-0.1091,-0.0282,-3.868794326241135
2017-07-03,2017-07-31,16,1,15,10,boruta,-0.0242,-0.023,-1.0521739130434782
2017-08-01,2017-08-31,16,1,10,10,boruta,0.0011,-0.0432,0.02546296296296296
2017-09-01,2017-09-29,17,1,15,10,boruta,0.4426,-0.0175,25.29142857142857
2017-10-02,2017-10-31,16,1,10,10,boruta,-0.17,-0.0283,-6.007067137809188
2017-11-01,2017-11-30,16,1,10,10,boruta,0.552,-0.0195,28.30769230769231
2017-12-01,2017-12-29,16,1,15,10,boruta,0.2246,-0.0145,15.489655172413793
2018-01-02,2018-01-31,16,1,10,10,boruta,1.139,-0.0112,101.69642857142857
2018-02-01,2018-02-28,16,1,10,10,boruta,-0.7949,-0.1106,-7.187160940325498
2018-03-01,2018-03-29,16,1,15,10,boruta,0.008,-0.0658,0.12158054711246201
2018-04-02,2018-04-30,16,1,10,10,boruta,0.1401,-0.0737,1.9009497964721844
2018-05-01,2018-05-31,16,1,15,10,boruta,0.0014,-0.0235,0.059574468085106386
2018-06-01,2018-06-29,16,1,10,10,boruta,-0.0647,-0.0495,-1.3070707070707068
2018-07-02,2018-07-31,16,1,10,10,,0.0043,-0.0452,0.09513274336283187
2018-08-01,2018-08-31,16,1,10,10,boruta,-0.0163,-0.0378,-0.43121693121693117
2018-09-04,2018-09-28,17,1,15,10,boruta,0.1619,-0.0197,8.218274111675127
2018-10-01,2018-10-31,16,1,10,10,boruta,-0.7256,-0.1206,-6.016583747927032
2018-11-01,2018-11-30,16,1,15,10,,-0.3805,-0.0934,-4.073875802997859
2018-12-03,2018-12-31,16,1,15,10,boruta,-0.7531,-0.1708,-4.409250585480094
2019-01-02,2019-01-31,16,1,15,10,boruta,1.2758,-0.0325,39.255384615384614
2019-02-01,2019-02-28,16,1,15,10,boruta,0.3458,-0.0286,12.09090909090909
2019-03-01,2019-03-29,16,1,15,10,boruta,0.0202,-0.0255,0.7921568627450981
2019-04-01,2019-04-30,16,1,10,10,,-0.0907,-0.05,-1.814
2019-05-01,2019-05-31,16,1,10,10,boruta,-0.8635,-0.1586,-5.444514501891551
2019-06-03,2019-06-28,16,1,10,10,,1.4498,-0.0248,58.45967741935484
2019-07-01,2019-07-31,16,1,10,10,boruta,-0.1788,-0.0277,-6.454873646209386
2019-08-01,2019-08-30,16,1,15,10,boruta,-0.6058,-0.0988,-6.131578947368421
