start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,15,10,,1.5482,-0.0032,483.8125
2017-03-01,2017-03-31,16,1,15,10,,0.1278,-0.0194,6.587628865979381
2017-04-03,2017-04-28,16,1,10,10,,0.1821,-0.0152,11.980263157894738
2017-05-01,2017-05-31,16,1,10,10,,0.7151,-0.0145,49.31724137931034
2017-06-01,2017-06-30,16,1,10,10,,0.1111,-0.1066,1.0422138836772983
2017-07-03,2017-07-31,16,1,15,10,,1.8216,-0.0104,175.15384615384616
2017-08-01,2017-08-31,16,1,15,10,,0.8553,-0.0223,38.35426008968609
2017-09-01,2017-09-29,16,1,10,10,,0.2422,-0.0994,2.436619718309859
2017-10-02,2017-10-31,16,1,15,10,,1.7253,-0.004,431.325
2017-11-01,2017-11-30,16,1,10,10,,1.3142,-0.0072,182.5277777777778
2017-12-01,2017-12-29,16,1,10,10,,0.1813,-0.0953,1.9024134312696748
2018-01-02,2018-01-31,16,1,10,10,,0.8299,-0.0217,38.244239631336406
2018-02-01,2018-02-28,16,1,15,10,,-0.2517,-0.0645,-3.9023255813953486
2018-03-01,2018-03-29,16,1,10,10,,0.3991,-0.0426,9.368544600938968
2018-04-02,2018-04-30,16,1,15,10,,-0.0237,-0.0285,-0.831578947368421
2018-05-01,2018-05-31,16,1,10,10,,0.9478,-0.0118,80.32203389830508
2018-06-01,2018-06-29,16,1,10,10,,0.4521,-0.0237,19.075949367088608
2018-07-02,2018-07-31,16,1,10,10,,1.1801,-0.012,98.34166666666665
2018-08-01,2018-08-31,16,1,15,10,,1.097,-0.0115,95.3913043478261
2018-09-04,2018-09-28,16,1,10,10,,0.384,-0.0188,20.425531914893618
2018-10-01,2018-10-31,16,1,15,10,,-0.4072,-0.0667,-6.104947526236882
2018-11-01,2018-11-30,16,1,10,10,,-0.2291,-0.0887,-2.5828635851183765
2018-12-03,2018-12-31,16,1,15,10,,-0.8499,-0.1822,-4.664654226125137
2019-01-02,2019-01-31,16,1,15,10,,2.21,-0.0256,86.328125
2019-02-01,2019-02-28,16,1,15,10,boruta,0.4648,-0.0182,25.538461538461537
2019-03-01,2019-03-29,16,1,10,10,boruta,0.0041,-0.027,0.15185185185185188
2019-04-01,2019-04-30,16,1,10,10,,0.0265,-0.1173,0.2259164535379369
2019-05-01,2019-05-31,16,1,10,10,,-0.5989,-0.0738,-8.115176151761517
2019-06-03,2019-06-28,16,1,10,10,,0.8868,-0.0203,43.684729064039416
2019-07-01,2019-07-31,16,1,10,10,,0.0665,-0.0184,3.614130434782609
2019-08-01,2019-08-30,16,1,10,10,,0.4515,-0.0325,13.892307692307693
2019-09-03,2019-09-30,16,1,10,10,,1.0402,-0.0347,29.97694524495677
2019-10-01,2019-10-31,16,1,10,10,boruta,1.0231,-0.0177,57.80225988700564
2019-11-01,2019-11-29,16,1,10,10,,0.788,-0.0089,88.53932584269663
2019-12-02,2019-12-31,16,1,10,10,,0.5681,-0.0086,66.05813953488372
2020-01-02,2020-01-31,16,1,10,10,,-0.1196,-0.033,-3.624242424242424
2020-02-03,2020-02-28,16,1,15,10,,-0.7126,-0.1279,-5.571540265832681
2020-03-02,2020-03-31,16,1,10,10,boruta,-0.8764,-0.2751,-3.1857506361323153
2020-04-01,2020-04-30,16,1,15,10,,175.8498,-0.1221,1440.2113022113022
2020-05-01,2020-05-29,16,1,10,10,boruta,0.7109,-0.0475,14.966315789473683
2020-06-01,2020-06-30,16,1,10,10,boruta,0.2786,-0.101,2.758415841584158
2020-07-01,2020-07-31,16,1,10,10,,0.9185,-0.0249,36.88755020080321
2020-08-03,2020-08-31,16,1,10,10,,0.2443,-0.0114,21.429824561403507
2020-09-01,2020-09-30,16,1,10,10,,-0.0077,-0.0716,-0.1075418994413408
2020-10-01,2020-10-30,16,1,10,10,,-0.1894,-0.1727,-1.0966994788650841
2020-11-02,2020-11-30,16,1,10,10,boruta,5.5595,-0.0138,402.8623188405797
2020-12-01,2020-12-31,16,1,15,10,,0.7858,-0.026,30.223076923076928
2021-01-04,2021-01-29,17,1,10,10,boruta,0.8975,-0.053,16.933962264150942
2021-02-01,2021-02-26,16,1,10,10,,2.1487,-0.0367,58.54768392370571
2021-03-01,2021-03-31,16,1,10,10,,1.2226,-0.0131,93.32824427480915
2021-04-01,2021-04-30,16,1,10,10,,1.7711,-0.0129,137.29457364341084
2021-05-03,2021-05-28,16,1,10,10,,0.8841,-0.0387,22.844961240310077
2021-06-01,2021-06-30,16,1,10,10,,-0.2304,-0.0604,-3.814569536423841
2021-07-01,2021-07-30,16,1,10,10,,0.6278,-0.0345,18.19710144927536
2021-08-02,2021-08-31,16,1,10,10,,1.266,-0.0452,28.008849557522126
2021-09-01,2021-09-30,16,1,10,10,,0.0564,-0.0481,1.1725571725571726
2021-10-01,2021-10-29,16,1,10,10,,0.8928,-0.0273,32.7032967032967
2021-11-01,2021-11-30,16,1,10,10,,-0.0823,-0.0434,-1.8963133640552994
2021-12-01,2021-12-31,16,1,10,10,,1.819,-0.0269,67.62081784386616
2022-01-03,2022-01-31,16,1,15,10,,-0.3384,-0.065,-5.206153846153845
2022-02-01,2022-02-28,16,1,10,10,,-0.4572,-0.0683,-6.693997071742313
2022-03-01,2022-03-30,16,1,10,10,,1.9428,-0.063,30.83809523809524
