start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,17,1,10,10,mi,0.5484,-0.0119,46.08403361344538
2017-03-01,2017-03-31,16,1,10,10,mi,-0.1135,-0.0244,-4.6516393442622945
2017-04-03,2017-04-28,16,1,10,10,mi,-0.1393,-0.0179,-7.782122905027934
2017-05-01,2017-05-31,16,1,10,10,mi,-0.3127,-0.0345,-9.063768115942027
2017-06-01,2017-06-30,16,1,10,10,mi,-0.0595,-0.0232,-2.564655172413793
2017-07-03,2017-07-31,16,1,10,10,mi,0.1136,-0.0255,4.454901960784314
2017-08-01,2017-08-31,17,1,10,10,mi,-0.2438,-0.0398,-6.125628140703517
2017-09-01,2017-09-29,16,1,10,10,mi,0.3589,-0.0108,33.23148148148148
2017-10-02,2017-10-31,17,1,10,10,mi,0.0295,-0.0138,2.1376811594202896
2017-11-01,2017-11-30,16,1,10,10,mi,0.1723,-0.0333,5.174174174174174
2017-12-01,2017-12-29,16,1,10,10,mi,0.3083,-0.0087,35.43678160919541
2018-01-02,2018-01-31,17,1,10,10,mi,1.5345,-0.0193,79.50777202072538
2018-02-01,2018-02-28,16,1,10,10,mi,-0.1596,-0.0726,-2.1983471074380163
2018-03-01,2018-03-29,16,1,10,10,mi,-0.1171,-0.0593,-1.9747048903878583
2018-04-02,2018-04-30,16,1,10,10,mi,0.8639,-0.0208,41.53365384615385
2018-05-01,2018-05-31,16,1,15,10,mi,0.1778,-0.0319,5.5736677115987465
2018-06-01,2018-06-29,16,1,10,10,mi,0.1769,-0.0317,5.580441640378549
2018-07-02,2018-07-31,17,1,15,10,mi,0.1254,-0.0366,3.426229508196722
2018-08-01,2018-08-31,16,1,10,10,mi,-0.0133,-0.0405,-0.32839506172839505
2018-09-04,2018-09-28,16,1,10,10,mi,0.4692,-0.0116,40.44827586206897
2018-10-01,2018-10-31,16,1,10,10,mi,-0.6302,-0.1055,-5.973459715639811
2018-11-01,2018-11-30,16,1,10,10,,-0.1572,-0.0894,-1.7583892617449666
