,best_combo,train_start_date,actual_train_end_date,pred_date,max_mean_oos_square
0,"(16, 1, 15, 10, 'mi')",2001-01-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,1
1,"(16, 1, 15, 10, '')",2001-02-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,1
2,"(17, 1, 15, 10, 'mi')",2000-03-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,1
3,"(16, 1, 15, 10, 'mi')",2001-04-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,1
4,"(16, 1, 15, 10, 'mi')",2001-05-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,1
5,"(16, 1, 15, 10, 'mi')",2001-06-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,1
6,"(17, 1, 10, 10, 'mi')",2000-07-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,1
7,"(16, 1, 10, 10, 'mi')",2001-08-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,1
8,"(16, 1, 15, 10, 'mi')",2001-09-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,1
9,"(16, 1, 15, 10, '')",2001-10-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,1
10,"(16, 1, 15, 10, '')",2001-11-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,1
11,"(16, 1, 15, 10, 'mi')",2001-12-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,1
12,"(17, 1, 15, 10, 'mi')",2001-01-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,1
13,"(17, 1, 15, 10, 'mi')",2001-02-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,1
14,"(16, 1, 10, 10, '')",2002-03-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,1
15,"(16, 1, 15, 10, '')",2002-04-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,1
16,"(17, 1, 15, 10, 'mi')",2001-05-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,1
17,"(16, 1, 15, 10, 'mi')",2002-06-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,1
18,"(16, 1, 10, 10, '')",2002-07-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,1
19,"(16, 1, 10, 10, 'mi')",2002-08-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,1
20,"(16, 1, 15, 10, '')",2002-09-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,1
21,"(16, 1, 15, 10, 'mi')",2002-10-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,1
22,"(16, 1, 15, 10, '')",2002-11-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,1
23,"(17, 1, 10, 10, 'mi')",2001-12-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,1
24,"(17, 1, 15, 10, 'mi')",2002-01-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,1
25,"(16, 1, 15, 10, 'mi')",2003-02-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,1
26,"(16, 1, 10, 10, '')",2003-03-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,1
27,"(16, 1, 10, 10, 'mi')",2003-04-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,1
28,"(17, 1, 15, 10, 'mi')",2002-05-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,1
29,"(16, 1, 10, 10, '')",2003-06-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,1
