,current_combo,valid_train_start_date, valid_train_end_date,valid_end_date,oos_square
0,"(16, 1, 10, 10, 'mi')",2001-01-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,0.5
1,"(16, 1, 10, 10, 'mi')",2002-03-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,0.4285714285714286
2,"(16, 1, 10, 10, 'mi')",2003-05-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,0.031509121061359835
3,"(16, 1, 10, 10, 'mi')",2004-07-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,0.6773109243697479
4,"(16, 1, 10, 10, 'mi')",2006-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.24077328646748686
5,"(16, 1, 10, 10, '')",2001-01-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,0.5723684210526316
6,"(16, 1, 10, 10, '')",2002-03-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,0.44850498338870437
7,"(16, 1, 10, 10, '')",2003-05-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,0.04477611940298509
8,"(16, 1, 10, 10, '')",2004-07-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,0.6638655462184874
9,"(16, 1, 10, 10, '')",2006-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.17750439367311077
10,"(16, 1, 15, 10, 'mi')",2001-01-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,-0.6907216494845361
11,"(16, 1, 15, 10, 'mi')",2001-03-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,0.20277296360485264
12,"(16, 1, 15, 10, 'mi')",2001-05-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,-0.38219895287958106
13,"(16, 1, 15, 10, 'mi')",2001-07-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,0.368421052631579
14,"(16, 1, 15, 10, 'mi')",2001-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.3110720562390158
15,"(16, 1, 15, 10, '')",2001-01-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,-0.9106529209621994
16,"(16, 1, 15, 10, '')",2001-03-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,-0.07452339688041598
17,"(16, 1, 15, 10, '')",2001-05-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,-0.2635253054101221
18,"(16, 1, 15, 10, '')",2001-07-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,0.23508771929824557
19,"(16, 1, 15, 10, '')",2001-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.17750439367311077
20,"(17, 1, 10, 10, 'mi')",2000-01-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,0.11475409836065575
21,"(17, 1, 10, 10, 'mi')",2001-05-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,0.7678275290215588
22,"(17, 1, 10, 10, 'mi')",2002-09-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,-0.03654485049833878
23,"(17, 1, 10, 10, 'mi')",2004-01-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,0.5771812080536913
24,"(17, 1, 10, 10, 'mi')",2006-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.02987697715289983
25,"(17, 1, 10, 10, '')",2000-01-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,0.3245901639344262
26,"(17, 1, 10, 10, '')",2001-05-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,0.8009950248756219
27,"(17, 1, 10, 10, '')",2002-09-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,-0.16279069767441867
28,"(17, 1, 10, 10, '')",2004-01-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,0.5704697986577181
29,"(17, 1, 10, 10, '')",2006-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.17750439367311077
30,"(17, 1, 15, 10, 'mi')",2000-01-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,0.08108108108108103
31,"(17, 1, 15, 10, 'mi')",2000-05-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,-0.049403747870528036
32,"(17, 1, 15, 10, 'mi')",2000-09-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,-0.32197614991482104
33,"(17, 1, 15, 10, 'mi')",2001-01-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,-1.0412371134020617
34,"(17, 1, 15, 10, 'mi')",2001-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.17750439367311077
35,"(17, 1, 15, 10, '')",2000-01-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,0.22297297297297303
36,"(17, 1, 15, 10, '')",2000-05-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,-0.20613287904599664
37,"(17, 1, 15, 10, '')",2000-09-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,0.12095400340715501
38,"(17, 1, 15, 10, '')",2001-01-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,-0.9106529209621994
39,"(17, 1, 15, 10, '')",2001-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.17750439367311077
40,"(16, 1, 10, 10, 'mi')",2001-02-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,0.5986842105263157
41,"(16, 1, 10, 10, 'mi')",2002-04-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,0.23588039867109634
42,"(16, 1, 10, 10, 'mi')",2003-06-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,0.5614617940199336
43,"(16, 1, 10, 10, 'mi')",2004-08-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,0.0991596638655462
44,"(16, 1, 10, 10, 'mi')",2007-01-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,0.6906854130052724
45,"(16, 1, 10, 10, '')",2001-02-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,0.5526315789473684
46,"(16, 1, 10, 10, '')",2002-04-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,0.06976744186046513
47,"(16, 1, 10, 10, '')",2003-06-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,0.574750830564784
48,"(16, 1, 10, 10, '')",2004-08-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,0.07899159663865551
49,"(16, 1, 10, 10, '')",2007-01-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,0.7328646748681897
