start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,,-0.052,-0.019,-2.736842105263158
2017-03-01,2017-03-31,17,1,15,10,mi,-0.2314,-0.0435,-5.319540229885058
2017-04-03,2017-04-28,16,1,15,10,,-0.1511,-0.0165,-9.157575757575758
2017-05-01,2017-05-31,17,1,15,10,mi,1.3235,-0.0285,46.43859649122807
2017-06-01,2017-06-30,16,1,10,10,,0.0051,-0.0219,0.23287671232876714
2017-07-03,2017-07-31,17,1,10,10,mi,0.0406,-0.0288,1.409722222222222
2017-08-01,2017-08-31,17,1,15,10,mi,-0.0343,-0.0444,-0.7725225225225224
2017-09-01,2017-09-29,16,1,15,10,mi,-0.0277,-0.0123,-2.252032520325203
2017-10-02,2017-10-31,16,1,15,10,mi,0.0102,-0.0252,0.40476190476190477
2017-11-01,2017-11-30,16,1,10,10,mi,0.0763,-0.0386,1.9766839378238343
2017-12-01,2017-12-29,16,1,10,10,,-0.0761,-0.0138,-5.5144927536231885
2018-01-02,2018-01-31,16,1,15,10,mi,0.5996,-0.0243,24.674897119341566
2018-02-01,2018-02-28,16,1,10,10,,-0.3837,-0.0698,-5.497134670487106
2018-03-01,2018-03-29,16,1,10,10,,0.0729,-0.0564,1.2925531914893618
2018-04-02,2018-04-30,17,1,15,10,mi,0.307,-0.0248,12.379032258064516
2018-05-01,2018-05-31,16,1,10,10,,0.2212,-0.0255,8.67450980392157
2018-06-01,2018-06-29,16,1,10,10,,0.1485,-0.0439,3.382687927107061
2018-07-02,2018-07-31,16,1,15,10,mi,0.1173,-0.0301,3.897009966777409
2018-08-01,2018-08-31,16,1,10,10,mi,0.8353,-0.0144,58.00694444444445
2018-09-04,2018-09-28,16,1,10,10,,-0.0143,-0.0231,-0.6190476190476191
2018-10-01,2018-10-31,17,1,15,10,mi,-0.4438,-0.0901,-4.925638179800222
2018-11-01,2018-11-30,16,1,10,10,,0.4582,-0.0353,12.980169971671389
2018-12-03,2018-12-31,16,1,15,10,,-0.6998,-0.1364,-5.1304985337243405
2019-01-02,2019-01-31,16,1,15,10,mi,2.2389,-0.0336,66.63392857142858
2019-02-01,2019-02-28,17,1,15,10,mi,-0.1038,-0.0386,-2.6891191709844557
2019-03-01,2019-03-29,17,1,15,10,mi,-0.3204,-0.0456,-7.026315789473684
2019-04-01,2019-04-30,16,1,10,10,,0.1284,-0.0183,7.01639344262295
2019-05-01,2019-05-31,17,1,15,10,mi,-0.6529,-0.0997,-6.548645937813441
2019-06-03,2019-06-28,16,1,15,10,mi,2.7184,-0.0127,214.04724409448818
2019-07-01,2019-07-31,16,1,15,10,,0.0576,-0.0136,4.235294117647059
2019-08-01,2019-08-30,16,1,10,10,,-0.3355,-0.0562,-5.969750889679716
2019-09-03,2019-09-30,16,1,10,10,,0.9177,-0.0158,58.08227848101265
2019-10-01,2019-10-31,16,1,10,10,,-0.3358,-0.056,-5.996428571428571
2019-11-01,2019-11-29,16,1,10,10,,0.0147,-0.0163,0.901840490797546
2019-12-02,2019-12-31,16,1,10,10,mi,0.4635,-0.0141,32.87234042553192
2020-01-02,2020-01-31,16,1,15,10,,-0.0816,-0.0435,-1.8758620689655174
2020-02-03,2020-02-28,16,1,15,10,,-0.7474,-0.1215,-6.151440329218107
2020-03-02,2020-03-31,16,1,15,10,mi,-0.9868,-0.475,-2.0774736842105264
2020-04-01,2020-04-30,16,1,10,10,,6.271,-0.0859,73.0034924330617
2020-05-01,2020-05-29,17,1,10,10,mi,2.7302,-0.1105,24.70769230769231
2020-06-01,2020-06-30,17,1,15,10,mi,0.0312,-0.1931,0.16157431382703263
2020-07-01,2020-07-31,16,1,15,10,,0.1804,-0.0555,3.2504504504504506
2020-08-03,2020-08-31,16,1,10,10,mi,0.2149,-0.0404,5.319306930693069
2020-09-01,2020-09-30,16,1,15,10,mi,-0.3404,-0.0907,-3.7530319735391395
2020-10-01,2020-10-30,16,1,15,10,mi,-0.2597,-0.0867,-2.9953863898500575
2020-11-02,2020-11-30,16,1,15,10,,9.6454,-0.0444,217.23873873873873
2020-12-01,2020-12-31,16,1,15,10,mi,0.4992,-0.0406,12.295566502463055
2021-01-04,2021-01-29,17,1,15,10,mi,-0.0571,-0.1381,-0.41346850108616945
2021-02-01,2021-02-26,16,1,15,10,,1.435,-0.0342,41.95906432748538
2021-03-01,2021-03-31,16,1,15,10,,1.4895,-0.0257,57.95719844357977
2021-04-01,2021-04-30,17,1,10,10,mi,0.6152,-0.0164,37.512195121951216
2021-05-03,2021-05-28,16,1,15,10,mi,0.2985,-0.0313,9.536741214057507
2021-06-01,2021-06-30,16,1,10,10,,0.4157,-0.0257,16.17509727626459
2021-07-01,2021-07-30,17,1,10,10,mi,-0.3775,-0.1634,-2.310281517747858
2021-08-02,2021-08-31,17,1,10,10,mi,0.3699,-0.0735,5.03265306122449
2021-09-01,2021-09-30,16,1,10,10,mi,-0.1003,-0.0354,-2.8333333333333335
2021-10-01,2021-10-29,17,1,15,10,mi,-0.5295,-0.1215,-4.3580246913580245
2021-11-01,2021-11-30,16,1,10,10,mi,-0.5606,-0.0778,-7.205655526992288
2021-12-01,2021-12-31,16,1,15,10,,2.1555,-0.0335,64.34328358208954
2022-01-03,2022-01-31,16,1,10,10,,-0.5721,-0.1056,-5.417613636363637
2022-02-01,2022-02-28,16,1,10,10,mi,-0.0921,-0.0889,-1.0359955005624297
2022-03-01,2022-03-30,16,1,10,10,mi,0.3891,-0.0581,6.6970740103270225
